submissionid,country,level1_name,level2_name,level3_name,lat,lon,ma_name,ma_area,ma_status,reserves,reserve_status,2_affiliation,3_community,5_hh_status,6_gender,8_religion,8_religion_other,9_region_member,9_region_name,10_mpa_important,11a_months_farming,11a_income_farming,11b_months_harvesting,11b_income_harvesting,11c_months_fishing_artisanal,11c_income_fishing_artisanal,11d_months_fishing_industrial,11d_income_fishing_industrial,11e_months_buying_trading,11e_income_buying_trading,11f_months_processing,11f_income_processing,11g_months_aquaculture,11g_income_aquaculture,11h_months_extraction,11h_income_extraction,11i_months_tourism,11i_income_tourism,11j_months_other_wage,11j_income_other_wage,11k_other_source,11k_months_other,11k_income_other,12a_fishing_men,12b_fishing_women,12c_fishing_children,13a_processing_men,13b_processing_women,13c_processing_children,14_responsibilities_other,16_hh_main_fisher,16_hh_other_fisher,17_fishing_low_profit,18_fishing_high_profit,19_current_fish_catch,20a_gear_hand,20b_gear_stationary_net,20c_gear_mobile_net,20d_gear_stationary_line,20e_gear_mobile_line,20f_gear_explosives,20g_gear_other,21_boat_owner_status,22_catch_5yrs,23_job_secure,24a_item_radio_no,24a_item_radio_value,24b_item_tv_no,24b_item_tv_value,24c_item_satellite_no,24c_item_satellite_value,24d_item_phone_no,24d_item_phone_value,24e_item_washing_maching_no,24e_item_washing_machine_value,24f_item_generator_no,24f_item_generator_value,24g_item_fridge_no,24g_item_fridge_value,24h_item_motorboat_no,24h_item_motorboat_value,24i_item_outboard_no,24i_item_outboard_value,24j_item_inboard_no,24j_item_inboard_value,24k_item_sailboat_no,24k_item_sailboat_value,24l_item_bicycle_no,24l_item_bicycle_value,24m_item_motorcycle_no,24m_item_motorcycle_value,24n_item_car_no,24n_item_car_value,24o_item_internet_no,24o_item_internet_value,24p_item_other_no,24p_item_other_specify,24p_item_other_value,25a_financial_bank,25b_financial_micro,25c_financial_ngo,25d_financial_lender,25e_financial_insurance,25f_financial_other,26_fishing_income_save,27a_emergency_personal,27b_emergency_family,27c_emergency_friend,27d_emergency_entrepreneur,27e_emergency_savings_club,27f_emergency_lender,27g_emergency_commercial_ind,27h_emergency_commercial_group,27i_emergency_microfinance_ind,27j_emergency_microfinance_group,27k_emergency_ngo_ind,27l_emergency_ngo_group,27m_emergency_insurance,27n_emergency_other,28_buyer_loans,28_loan_purpose,29_family_income,30_trust_local_decision,30_trust_regional_decision,30_trust_community,30_trust_village_alert,30_trust_religious_leaders,30_trust_ngo,30_trust_fishers_community,30_trust_fishers_other,30_trust_community_neighbors,31_my_community_ability,32_fishery_benefit_equal,33_ma_familiar,34_gear_restrictions,35a_ma_gear_nets,35b_ma_gear_dynamite,35c_ma_gear_hookline,35d_ma_gear_harpoon,35e_ma_gear_trawl,35f_ma_gear_mosquito,35g_ma_gear_poison,35h_ma_gear_gillnet,35i_ma_gear_gamboa,35j_ma_gear_quinia,35k_ma_gear_other,36_fish_size_restriction,37_fish_catch,37_ability_min_size,37_ability_max_size,38_reserve_fishing_allowed,39_ma_boundaries_aware,40_reserve_boundaries_aware,41_ma_fishers_allowed,42a_problem_regulation,42b_problem_restricted_gear,42c_problem_undersize,42d_problem_inside_reserve,42e_problem_unauthorized,43_ma_benefits,43_ma_benefits_opinion,46_represent_interests,47_represent_contributions,49_enforcement_responsible,50_ma_punishment,51a_fishers_gear_not_permitted,51b_fishers_reserves,51c_fishers_ma_area,51d_fishers_violate_fish_size,51e_fishers_caught,52_ma_benefit_5yrs,53_encourage_regulations,54_food_availability,55_worry_food,56_reduce_meal_size_adult,57_reduce_meal_size_frequency,58_reduce_meal_size_child,59_food_procurement,60_hh_fish_consumption,61a_current_regulations,61b_catch_recording,61c_community_participation,61d_strong_enforcement,61e_violations_decrease_profit,61f_rights_distribution_fair,61g_fishing_change_behavior,61h_individual_behavior,61i_help_neighbors,62_reserve_compliance,63_fishing_in_reserve,63_times_fishing_reserve,64_wrong_fishing_reserve,65_no_wrong_fishing_reserve,66_response_fishing_reserve,66_reaction_fishing_reserve,67_reserve_boundry,68_fish_eaten,68_fish_sold,70_hh_average_income,71_post_hours_man,71_post_income_man,71_post_hours_woman,71_post_income_woman,72_current_economic,73_future_economic,74_housing_costs,75_luxury_goods,76_fishing_costs,77_hh_ends_meet,78_financial_decisions,79_allow_reinterview,79_interview_years,level4_name,35e_ma_gear_traps,35f_ma_gear_longline,35g_ma_gear_other,35a_ma_gear_gillnet,35b_ma_gear_loop,35d_ma_gear_matapi,35e_ma_gear_longline,35f_ma_gear_handline,35g_ma_gear_rag,35h_ma_gear_trawl,35i_ma_gear_mesh,35j_ma_gear_poison,35k_ma_gear_net,35l_ma_gear_cover,35m_ma_gear_corral,35n_ma_gear_bacamento,35o_ma_gear_other,ma_gear_other_desc,35k_ma_gear_other_desc,updatedat,7_gender,7_age,7_relationship,7_education,14_responsibility,15_activity,15_hours,44_meeting_attendance,45_leadership_position,48_enforcement_participation,69_fish_type,69_street,69_customer_home,69_market,69_shop,69_fishing_company,69_restaurant,69_own_home,69_other
4671a6f8-d1c8-4ca2-9132-51a197c44ad6,PLW,Ngiwal,Ngiwal,NA,7.55649,134.61606,Ngiwal,0,Proposed,1,Proposed,Student,Ngiwal,Household head,M,Christian,,0,,-1,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,,Independently,NA,,,Declined slightly,1,0,0,1,0,0,0,Own,Declines a lot,1,2,NA,2,NA,0,0,5,NA,1,NA,0,0,2,NA,5,NA,5,NA,0,0,0,0,1,NA,0,0,2,NA,1,NA,NA,,NA,1,0,1,0,1,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,Sufficient,3,3,3,3,5,3,3,3,3,Disagree,0,1,NA,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,NA,NA,,0,,NA,NA,0,Neither,3,Community only,NA,1,1,1,1,1,"Elecha el mekngit a climate, e ng kired el remuul a llach ra omenged. ",Neither,Agree,There is no enforcement system,No punishment,0,0,0,0,0,Yes,Rarely,Good,Sometimes,0,,0,Very confident not,Few per week,4,4,4,5,NA,3,4,4,4,go down,0,NA,very wrong,10,1,Negative formal sanction,1,24,0,2000,2,0,0,0,,,150,250,0,Easy,Both,1,9.88131291682493e-324,Ngiwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-07,NA,NA,NA,NA,"Caring for children, Cooking for family, Caring for livestock, Keeping the house, Cleaning fish",NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a2181a52-8205-4771-8f9f-de4a812dd81d,PLW,Ngiwal,Ngiwal,NA,7.55649,134.61606,Ngiwal,0,Proposed,1,Proposed,,Ngiwal,Other parent,F,Christian,,0,,-1,11,25,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,,0,0,1,2,0,0,0,0,,Independently,NA,,,Declined slightly,1,0,0,1,0,0,0,Own,Stays the same,1,1,NA,1,NA,0,0,5,NA,1,NA,0,0,2,NA,1,NA,1,NA,0,NA,0,0,0,0,0,0,2,NA,1,NA,NA,,NA,1,0,1,0,1,,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,,Sufficient,3,3,4,4,4,4,3,3,4,Agree,0,1,1,Permitted,Permitted,Not permitted,Not permitted,Permitted,Permitted,Permitted,Not permitted,NA,NA,,0,,NA,NA,0,Neither,10,With authorization,NA,1,1,1,1,1,Inprove fish population,Agree,Agree,Fisheries Management Body,Moderate,6,3,0,0,2,Yes,Often,Good,Never,0,,0,Confident not,Few per week,2,5,5,5,NA,1,5,5,5,go down,0,NA,very wrong,5,1,Negative formal sanction,1,100,0,800,0,0,0,0,,,80,750,30,Easy,Both,1,9.88131291682493e-324,Ngiwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-07,NA,NA,NA,NA,"Keeping the house, Keeping the house, Keeping the house, Caring for livestock, Caring for livestock, Caring for livestock, Cooking for family, Cooking for family, Cooking for family, Keeping the house, Keeping the house, Keeping the house, Caring for livestock, Caring for livestock, Caring for livestock, Cooking for family, Cooking for family, Cooking for family, Keeping the house, Keeping the house, Keeping the house, Caring for livestock, Caring for livestock, Caring for livestock, Cooking for family, Cooking for family, Cooking for family",NA,NA,"Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female","Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a2181a52-8205-4771-8f9f-de4a812dd81d,PLW,Ngiwal,Ngiwal,NA,7.55649,134.61606,Ngiwal,0,Proposed,1,Proposed,Student,Ngiwal,Household head,M,Christian,,0,,-1,11,25,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,,0,0,1,2,0,0,0,0,,Independently,NA,,,Declined slightly,1,0,0,1,0,0,0,Own,Stays the same,1,1,NA,1,NA,0,0,5,NA,1,NA,0,0,2,NA,1,NA,1,NA,0,NA,0,0,0,0,0,0,2,NA,1,NA,NA,,NA,1,0,1,0,1,,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,,Sufficient,3,3,4,4,4,4,3,3,4,Agree,0,1,1,Permitted,Permitted,Not permitted,Not permitted,Permitted,Permitted,Permitted,Not permitted,NA,NA,,0,,NA,NA,0,Neither,10,With authorization,NA,1,1,1,1,1,Inprove fish population,Agree,Agree,Fisheries Management Body,Moderate,6,3,0,0,2,Yes,Often,Good,Never,0,,0,Confident not,Few per week,2,5,5,5,NA,1,5,5,5,go down,0,NA,very wrong,5,1,Negative formal sanction,1,100,0,800,0,0,0,0,,,80,750,30,Easy,Both,1,9.88131291682493e-324,Ngiwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-07,NA,NA,NA,NA,"Keeping the house, Keeping the house, Keeping the house, Caring for livestock, Caring for livestock, Caring for livestock, Cooking for family, Cooking for family, Cooking for family, Keeping the house, Keeping the house, Keeping the house, Caring for livestock, Caring for livestock, Caring for livestock, Cooking for family, Cooking for family, Cooking for family, Keeping the house, Keeping the house, Keeping the house, Caring for livestock, Caring for livestock, Caring for livestock, Cooking for family, Cooking for family, Cooking for family",NA,NA,"Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female","Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female, Yes female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d6ac79f1-9530-4a07-a380-88777c007e7f,PLW,Ngiwal,Ngiwal,NA,7.55649,134.61606,Ngiwal,0,Proposed,1,Proposed,Student,Ngiwal,Household head,M,Christian,,0,,1,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,12,90,,0,0,1,0,0,1,1,0,farming,Independently,NA,1-2 per week,1-2 per week,Declined slightly,1,0,0,1,1,0,0,Own,Declines a lot,0,1,NA,2,NA,0,0,3,NA,1,NA,0,0,2,NA,1,NA,1,NA,0,0,0,0,2,NA,0,0,3,NA,1,NA,0,,NA,1,0,0,1,1,,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,Tight,2,5,3,3,3,3,3,3,3,Neither,0,1,0,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,NA,NA,,0,12 inches,0,1,0,Agree,10,Without authorization,NA,1,1,1,1,0,,Disagree,Disagree,Subnational Government,Moderate,0,0,0,0,0,Yes,Never,OK,Never,0,,0,Uncertain,Few per week,3,0,3,4,NA,0,0,5,4,go up,0,NA,extremely wrong,10,1,2. Negative informal sanction,1,100,50,2300,1,200,NA,NA,Neither,Slightly worse,500,200,50,Fairly easy,Both,1,9.88131291682493e-324,Ngiwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-08,NA,NA,NA,NA,"Caring for children, Cooking for family, Keeping the house, Other",NA,NA,Yes male,Yes male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3fecd73f-5b28-421c-aea2-11cc28303c0f,PLW,Ngiwal,Ngiwal,NA,7.55649,134.61606,Ngiwal,0,Proposed,1,Proposed,Student,Ngiwal,Household head,M,Christian,,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,,0,0,1,0,0,0,0,0,,Independently,NA,1-2 per week,1-2 per week,Declined slightly,1,0,0,1,0,0,0,Not by boat,Declines slightly,1,0,0,0,0,0,0,1,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,NA,1,1,0,0,0,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Sufficient,2,4,3,4,5,3,4,2,4,Agree,1,0,0,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,NA,NA,,0,Diak a size limit,0,0,0,Agree,10,With authorization,NA,1,1,1,1,1,,Agree,Agree,Subnational Government,No punishment,0,8,0,0,10,Yes,Rarely,Good,Never,0,,0,Confident not,More than few per week,4,4,4,4,NA,2,0,4,4,go down,0,NA,very wrong,10,1,2. Negative informal sanction,1,120,0,800,0,0,0,0,,,300,200,0,Easy,Myself,1,9.88131291682493e-324,Ngiwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-08,NA,NA,NA,NA,NA,NA,NA,"Yes male, Yes male, Yes male, Yes male","No, No, No, No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d8b11b8a-e50b-49db-85e6-5bfe6712c1a2,PLW,Ngiwal,Ngiwal,NA,7.55649,134.61606,Ngiwal,0,Proposed,1,Proposed,Student,Ngiwal,,M,Christian,,1,,NA,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,,0,0,0,0,0,1,0,0,,Independently,NA,,,Declined slightly,1,0,0,1,0,0,NA,Own,Improves slightly,1,0,0,1,NA,NA,NA,3,NA,1,NA,0,NA,1,NA,1,NA,1,NA,0,0,0,0,0,0,0,NA,2,NA,1,NA,NA,,NA,1,1,0,0,1,,1,1,1,0,0,0,0,1,0,0,0,1,0,1,NA,0,,Tight,4,4,5,4,5,4,3,2,1,Agree,0,1,1,Not permitted,Permitted,Not permitted,Permitted,Permitted,Permitted,Permitted,Permitted,NA,NA,,1,"tiao,12 inches",NA,NA,0,Agree,9,With authorization,NA,1,1,1,NA,1,,Agree,Agree,Subnational Government,Moderate,1,0,0,0,0,Yes,Sometimes,Good,Sometimes,0,,0,Very confident not,Few per month,4,4,5,5,NA,4,5,5,4,go up,0,NA,extremely wrong,9,1,2. Negative informal sanction,1,50,100,1005,NA,NA,NA,NA,Neither,Slightly worse,500,500,200,Easy,Female partner,1,9.88131291682493e-324,Ngiwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-08,NA,NA,NA,NA,"Caring for children, Cooking for family, Keeping the house",NA,NA,Yes male,Yes male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a44d4c2c-50ae-4cbc-86c6-79a4d24a87e7,PLW,Melekeok,Melekeok,NA,7.510106,134.605342,Melekeok,0,Proposed,1,Proposed,Student,Melekeok,Household head,M,Christian,,0,,-1,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,12,90,,0,0,3,2,3,0,0,0,Farming,Independently,NA,1-2 per week,1-2 per week,Declined slightly,1,0,0,1,0,0,0,Own,Declines slightly,1,1,NA,4,NA,0,0,5,NA,5,NA,1,NA,5,NA,2,NA,2,NA,0,0,3,NA,2,NA,0,0,3,NA,1,NA,NA,,NA,1,1,1,1,1,,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,,Sufficient,3,3,3,2,3,2,3,2,2,Agree,1,1,1,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Unknown,NA,NA,,1,5 inch - 12 inch,1,1,0,Agree,10,With authorization,NA,1,1,1,1,1,,Agree,Neither,Subnational Government,Moderate,0,0,0,0,0,Yes,Sometimes,Good,Never,0,,0,,More than few per week,4,5,4,4,NA,3,0,5,5,go down,0,NA,extremely wrong,10,1,2. Negative informal sanction,1,300,0,0,0,0,0,0,,,15000,32000,180,Very easy,Both,1,4.94065645841247e-324,Melekeok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-08,NA,NA,NA,NA,"Caring for children, Keeping the house, Cooking for family, Other",NA,NA,"Yes male, Yes female",Yes male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f6db46d0-c45a-45f1-b314-a20c7bad3cf5,PLW,Melekeok,Melekeok,NA,7.510106,134.605342,Melekeok,0,Proposed,1,Proposed,Student,Melekeok,Spouse,F,Christian,,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,,0,0,1,1,4,0,0,0,,Independently,NA,,,Declined a lot,1,1,0,0,1,0,0,Own,Declines a lot,1,0,0,1,NA,0,0,5,NA,1,NA,0,0,2,NA,1,NA,1,NA,0,0,0,0,0,0,0,0,1,NA,1,NA,NA,,NA,1,0,1,0,0,,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,,Tight,2,NA,2,4,3,5,1,1,4,Strongly agree,0,1,0,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,NA,NA,,0,,0,0,0,Strongly disagree,1,No restrictions,NA,1,1,1,1,1,A ngikel a mo obdois me a rechad a mo medengei a lechub me a ultutelel me a usbechellel tial kereker,Agree,Agree,Fisheries Management Body,Weak,3,1,0,0,1,Yes,Rarely,Very good,Sometimes,0,,0,Certain,Few per month,1,5,5,5,NA,0,5,5,5,go up,0,NA,extremely wrong,2,1,,1,150,0,NA,NA,NA,NA,NA,,,180,500,55,With difficulty,Both,1,9.88131291682493e-324,Melekeok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-11,NA,NA,NA,NA,"Keeping the house, Caring for children, Cooking for family, Cleaning fish, Preparing gear for fishing, Caring for livestock",NA,NA,Yes female,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38a3f48d-692a-4f98-854b-1c0bffea2f29,PLW,Ngiwal,Ngiwal,NA,7.55649,134.61606,Ngiwal,0,Proposed,1,Proposed,Student,Ngiwal,Household head,M,Christian,,0,,-1,0,0,0,0,11,50,0,0,0,0,0,0,0,0,0,0,0,0,12,50,,0,0,1,1,4,1,0,0,,Independently,NA,A few times per month,1-2 per week,Declined a lot,1,1,0,0,0,0,0,Not by boat,Declines a lot,1,1,NA,1,NA,0,0,3,NA,1,NA,0,0,1,NA,NA,NA,0,0,0,0,1,NA,0,0,0,0,1,NA,1,NA,NA,,NA,1,0,0,0,0,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,Sufficient,5,NA,5,2,5,5,2,2,3,Strongly agree,0,1,0,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,NA,NA,,0,,0,0,0,Strongly agree,10,Without authorization,NA,1,1,1,1,1,Uchul eng mo betok a ngikel,Agree,Agree,Fisheries Management Body,Strong,0,0,0,0,0,Yes,Sometimes,Good,Never,0,,0,Confident not,Few per week,5,5,5,5,NA,5,5,4,5,go up,0,NA,extremely wrong,10,1,,1,500,0,NA,NA,NA,NA,NA,,Much worse,500,500,0,Fairly easy,Female partner,1,9.88131291682493e-324,Ngiwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-11,NA,NA,NA,NA,"Cooking for family, Caring for children, Keeping the house, Caring for livestock",NA,NA,Yes male,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9a11553f-4f79-44d0-959f-694ab067b6c6,PLW,Ngiwal,Ngiwal,NA,7.55649,134.61606,Ngiwal,0,Proposed,1,Proposed,Other,Ngiwal,Household head,F,Christian,,0,,-1,12,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,NA,0,0,NA,,Independently,NA,Once or never,Once or never,Declined slightly,1,0,0,0,0,0,0,Not by boat,Improves slightly,1,1,NA,1,NA,0,0,2,NA,0,0,1,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,NA,1,NA,NA,NA,NA,,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,Sufficient,5,NA,3,3,5,5,2,3,3,Disagree,0,1,1,,,Not permitted,,,,,,NA,NA,,0,,0,0,0,Disagree,10,Without authorization,NA,1,1,1,1,1,More fish,Disagree,Agree,National Government,Weak,0,3,0,0,0,Yes,Often,OK,Never,0,,0,Confident not,More than few per week,5,5,5,5,NA,5,5,5,5,go up,NA,NA,extremely wrong,10,1,,1,100,0,1500,NA,NA,NA,NA,,,55,500,5,Very easy,Myself,1,0,Ngiwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-14,NA,NA,NA,NA,Keeping the house,NA,NA,Yes female,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b9292315-9f0f-40e8-a267-b85d6530e2c5,PLW,Ngiwal,Ngiwal,NA,7.55649,134.61606,Ngiwal,0,Proposed,1,Proposed,Other,Ngiwal,Household head,M,Christian,,0,,-1,12,30,0,0,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,NA,1,1,NA,,Independently,NA,A few times per month,More than 1-2 times per week,Stayed the same,NA,NA,NA,NA,NA,NA,NA,Not by boat,Stays the same,1,0,0,0,0,0,0,2,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,NA,,NA,NA,NA,NA,NA,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Sufficient,5,NA,5,4,5,5,1,1,4,Agree,1,0,1,,,Permitted,,,,,,NA,NA,,1,6in. - Turtle 37in.,0,0,0,Agree,10,Without authorization,NA,1,1,1,1,1,To prevent overfishing. Get what is enough,Agree,Agree,National Government,Weak,0,0,100,0,0,Yes,Sometimes,Good,Never,0,,0,Confident not,More than few per week,5,5,5,5,NA,5,5,5,5,,0,NA,extremely wrong,10,1,,1,0,0,NA,NA,320,NA,280,Neither,Neither,750,200,0,Easy,Female partner,1,3.8056763916436e-310,Ngiwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-14,NA,NA,NA,NA,"Keeping the house, Cooking for family",NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
df082d69-aedb-4ca0-b7a8-7b56484b43b4,PLW,Melekeok,Melekeok,NA,7.510106,134.605342,Melekeok,0,Proposed,1,Proposed,Student,Melekeok,Household head,M,Other,Protestant,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,,0,0,1,1,2,0,1,0,,Independently,NA,,,Declined slightly,1,0,0,0,0,0,0,Not by boat,Declines a lot,0,0,0,0,0,0,0,5,NA,1,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,NA,NA,,NA,1,0,1,0,1,,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,,Sufficient,3,3,5,4,5,3,2,2,4,Agree,0,1,1,Permitted,Unknown,Permitted,Unknown,Unknown,Unknown,Unknown,Permitted,NA,NA,,0,,0,0,0,Neither,10,Community only,NA,1,1,1,1,1,Ng sebechel remuul a cheled ma ngikel ra daob el muut el mo betok,,Neither,Fisheries Management Body,Strong,0,0,0,0,0,Yes,Often,OK,Never,0,,0,Confident not,Few per week,5,5,4,5,NA,4,5,4,5,go down,0,NA,very wrong,10,1,Negative formal sanction,1,150,0,700,0,0,0,0,,,100,75,0,Easy,Both,1,1.48219693752374e-323,Melekeok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-14,NA,NA,NA,NA,"Cooking for family, Caring for livestock, Caring for children",NA,NA,Yes male,Yes male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd8797d9-c3ca-40cd-8619-f2f87d279445,PLW,Ngiwal,Ngiwal,NA,7.55649,134.61606,Ngiwal,0,Proposed,1,Proposed,Other,Ngiwal,Sibling,M,Christian,,0,,-1,12,50,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,,0,0,3,1,NA,1,NA,NA,,Independently,NA,Once or never,1-2 per week,Declined slightly,1,0,0,0,0,0,0,Not by boat,Improves slightly,1,2,NA,1,NA,0,NA,2,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,NA,,NA,1,NA,NA,NA,NA,,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,Sufficient,5,NA,3,1,5,5,3,1,1,Strongly agree,1,0,1,Not permitted,Not permitted,Permitted,Unknown,Permitted,Not permitted,,Not permitted,NA,NA,,0,,0,0,1,Strongly agree,10,Without authorization,NA,1,1,1,1,1,To prevent overfishing,Agree,Agree,National Government,Moderate,1,0,100,0,0,Yes,Sometimes,Very good,Never,0,,NA,Confident not,More than few per week,4,5,5,5,NA,5,5,5,5,go up,1,5,extremely wrong,9,1,1. Non-sanction,1,100,1000,-500,4,0,NA,NA,Neither,Neither,60,150,100,Easy,Myself,1,3.35616668737682e-317,Ngiwal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-14,NA,NA,NA,NA,"Keeping the house, Cooking for family, Caring for livestock",NA,NA,Yes male,Yes male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a4babfee-d622-446d-af3f-41cab5a7cfab,PLW,Melekeok,Melekeok,NA,7.510106,134.605342,Melekeok,0,Proposed,1,Proposed,Surveyor,Melekeok,Household head,M,Other,Modekngei,0,,-1,12,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,12,45,12,50,,0,0,1,NA,NA,1,NA,NA,Social entrepreneur,Independently,NA,A few times,A few times per month,Declined a lot,1,NA,NA,NA,1,NA,NA,Own,Declines slightly,1,0,0,1,NA,0,0,4,NA,1,NA,1,NA,2,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,,NA,1,NA,NA,NA,1,401k,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,,Sufficient,3,3,3,1,3,5,3,3,3,Neither,0,1,1,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,Permitted,NA,NA,,0,,NA,NA,0,Disagree,5,Community only,NA,1,1,1,1,1,Sustainable fisheries,Disagree,Disagree,Subnational Government,Weak,2,1,0,0,0,Yes,Very often,Very good,Never,0,,0,Very confident not,Few per week,5,5,5,5,NA,4,5,5,5,go up,0,NA,extremely wrong,8,1,2. Negative informal sanction,1,150,4,6200,8,400,NA,NA,Slightly better,Neither,75,400,600,Very easy,Both,1,4.94065645841247e-324,Melekeok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-14,NA,NA,NA,NA,"Caring for children, Cooking for family, Keeping the house, Other",NA,NA,"Yes female, Yes male",Yes female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
